192.168.100.47
15:21
0
5
S;11;Pillauer Straße 18:58;Fachhochschule 18:53 • Hermannstr. 18:56;18:52;-1
S;11;Wik Kanal 19:42;Seefischmarkt 19:03 • Hbf 19:21 • Dreiecksplatz 19:29 • Ansgarkirche 19:31 • Elendsredder 19:38;18:58;-1
S;11;Pillauer Straße 19:06;Fachhochschule 19:01 • Hermannstr. 19:04;19:00;-1
F;F2;Reventloubrücke 19:21;Wellingdorf 19:09;19:03;-1
S;11;Wik Kanal 19:50;Seefischmarkt 19:11 • Hbf 19:29 • Dreiecksplatz 19:37 • Ansgarkirche 19:39 • Elendsredder 19:46;19:06;-1
S;60S;Botanischer Garten 19:40;Seefischmarkt 19:10 • Hbf 19:22 • Dreiecksplatz 19:30 • Ansgarkirche 19:32 • Universität 19:35;19:06;-1
S;11;Pillauer Straße 19:13;Fachhochschule 19:08 • Hermannstr. 19:11;19:07;-1
S;11;Pillauer Straße 19:21;Fachhochschule 19:16 • Hermannstr. 19:19;19:15;-1
S;11;Wik Kanal 20:00;Seefischmarkt 19:21 • Hbf 19:39 • Dreiecksplatz 19:47 • Ansgarkirche 19:49 • Elendsredder 19:56;19:16;-1
S;60S;Botanischer Garten 19:55;Seefischmarkt 19:25 • Hbf 19:37 • Dreiecksplatz 19:45 • Ansgarkirche 19:47 • Universität 19:50;19:21;-1
S;11;Pillauer Straße 19:28;Fachhochschule 19:23 • Hermannstr. 19:26;19:22;-1
S;11;Wik Kanal 20:10;Seefischmarkt 19:31 • Hbf 19:49 • Dreiecksplatz 19:57 • Ansgarkirche 19:59 • Elendsredder 20:06;19:26;-1
S;11;Pillauer Straße 19:36;Fachhochschule 19:31 • Hermannstr. 19:34;19:30;-1
S;11;Wik Kanal 20:20;Seefischmarkt 19:41 • Hbf 19:59 • Dreiecksplatz 20:07 • Ansgarkirche 20:09 • Elendsredder 20:16;19:36;-1
S;60S;Botanischer Garten 20:10;Seefischmarkt 19:40 • Hbf 19:52 • Dreiecksplatz 20:00 • Ansgarkirche 20:02 • Universität 20:05;19:36;-1
S;11;Pillauer Straße 19:43;Fachhochschule 19:38 • Hermannstr. 19:41;19:37;-1
S;11;Pillauer Straße 19:51;Fachhochschule 19:46 • Hermannstr. 19:49;19:45;-1
S;11;Wik Kanal 20:30;Seefischmarkt 19:51 • Hbf 20:09 • Dreiecksplatz 20:17 • Ansgarkirche 20:19 • Elendsredder 20:26;19:46;-1
F;F2;Reventloubrücke 20:06;Wellingdorf 19:54;19:48;-1
S;60S;Botanischer Garten 20:25;Seefischmarkt 19:55 • Hbf 20:07 • Dreiecksplatz 20:15 • Ansgarkirche 20:17 • Universität 20:20;19:51;-1
S;11;Pillauer Straße 20:01;Fachhochschule 19:56 • Hermannstr. 19:59;19:55;-1
S;60S;Hauptbahnhof 20:20;Seefischmarkt 20:08;20:04;-1
S;11;Pillauer Straße 20:11;Fachhochschule 20:06 • Hermannstr. 20:09;20:05;-1
S;11;Wik Kanal 20:55;Seefischmarkt 20:14 • Hbf 20:30 • Dreiecksplatz 20:43 • Ansgarkirche 20:45 • Elendsredder 20:52;20:09;-1
S;11;Pillauer Straße 20:21;Fachhochschule 20:16 • Hermannstr. 20:19;20:15;-1
F;F2;Reventloubrücke 20:36;Wellingdorf 20:24;20:18;-1
S;11;Pillauer Straße 20:31;Fachhochschule 20:26 • Hermannstr. 20:29;20:25;-1
S;11;Pillauer Straße 20:41;Fachhochschule 20:36 • Hermannstr. 20:39;20:35;-1
S;11;Wik Kanal 21:25;Seefischmarkt 20:44 • Hbf 21:00 • Dreiecksplatz 21:13 • Ansgarkirche 21:15 • Elendsredder 21:22;20:39;-1
F;F2;Reventloubrücke 21:06 -> F1 Bahnhof ab 21:29;Wellingdorf 20:54;20:48;-1
S;11;Pillauer Straße 21:01;Fachhochschule 20:56 • Hermannstr. 20:59;20:55;-1
S;11;Wik Kanal 21:55;Seefischmarkt 21:14 • Hbf 21:30 • Dreiecksplatz 21:43 • Ansgarkirche 21:45 • Elendsredder 21:52;21:09;-1
F;F2;Reventloubrücke 21:36;Wellingdorf 21:24;21:18;-1
S;11;Pillauer Straße 21:31;Fachhochschule 21:26 • Hermannstr. 21:29;21:25;-1
S;11;Wik Kanal 22:25;Seefischmarkt 21:44 • Hbf 22:00 • Dreiecksplatz 22:13 • Ansgarkirche 22:15 • Elendsredder 22:22;21:39;-1
F;F2;Reventloubrücke 22:06;Wellingdorf 21:54;21:48;-1
